permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,32.2,4291358.261541933,135344.6470610584,647895.1842615866,216760.1686769288,89452.70637917783,216760.1686769288,776674.4391399468,546841.6031539978,2225502.39370458,333825.3590556869
High permeability,32.300000000000004,4288192.7310684435,135430.429183719,647821.4232539876,216748.14756186726,89496.45949981436,216748.14756186726,779881.99861546,547089.4453685925,2236441.7097609965,335466.2564641494
High permeability,32.4,4285027.470632697,135516.2996117701,647747.760762112,216735.93962569177,89539.47355298568,216735.93962569177,783090.1154260858,547333.8559068928,2247385.948110952,337107.8922166427
High permeability,32.5,4281862.483285478,135602.25865183727,647674.1932638317,216723.54808390487,89581.75550711919,216723.54808390487,786298.7798592389,547574.87377204,2258335.041061511,338750.2561592265
High permeability,32.6,4278697.772076564,135688.3066104895,647600.717238372,216710.97615071238,89623.31232940142,216710.97615071238,789507.9822045227,547812.5379576134,2269288.920935665,340393.3381403496
High permeability,32.7,4275533.339998448,135774.44379108644,647527.3292420203,216698.2269664671,89664.15091953255,216698.2269664671,792717.7128731041,548046.8869241172,2280247.520942708,342037.1281414061
High permeability,32.800000000000004,4272369.190030104,135860.6704962844,647454.0258491699,216685.30365411943,89704.27816727383,216685.30365411943,795927.962298906,548277.95902466,2291210.7744644573,343681.6161696685
High permeability,32.9,4269205.325005114,135946.98702058467,647380.8038299339,216672.2091490552,89743.70078314016,216672.2091490552,799138.7212323294,548505.7912284615,2302178.6171867205,345326.79257800797
High permeability,33.0,4266041.747757064,136033.3936584885,647307.6599544251,216658.94638666022,89782.42547764644,216658.94638666022,802349.9804237764,548730.420504741,2313150.9847953077,346972.647719296
High permeability,33.1,4262878.461091236,136119.8907029175,647234.5910308963,216645.51826575998,89820.45892471669,216645.51826575998,805561.7306869633,548951.8835457524,2324127.8134370535,348619.1720155579
High permeability,33.2,4259715.467801319,136206.47844618186,647161.5938831165,216631.92767027547,89857.8077896364,216631.92767027547,808773.962855225,549170.2169519302,2335109.039406865,350266.35591102956
High permeability,33.300000000000004,4256552.770560146,136293.15717388238,647088.6654977442,216618.17732794717,89894.47858081543,216618.17732794717,811986.6680329196,549385.4561351261,2346094.6009757263,351914.1901463588
High permeability,33.4,4253390.372003113,136379.92716953086,647015.8029119079,216604.26991813508,89930.47775717663,216604.26991813508,815199.8374092402,549597.6361365053,2357084.4370319857,353562.66555479774
High permeability,33.5,4250228.274759364,136466.78871629256,646943.0031711729,216590.20811210832,89965.81176887058,216590.20811210832,818413.4621880556,549806.7919331427,2368078.4865707625,355211.7729856143
High permeability,33.6,4247066.481423702,136553.7420954403,646870.2633674054,216575.9945367281,90000.48702142377,216575.9945367281,821627.5336503126,550012.9581627717,2379076.6891503036,356861.5033725454
High permeability,33.7,4243904.99455057,136640.78758606027,646797.5806468681,216561.63176664544,90034.50986907442,216561.63176664544,824842.0431664141,550216.1690655969,2390078.984985634,358511.847747845
High permeability,33.800000000000004,4240743.816594553,136727.92546171477,646724.9522906473,216547.12224721172,90067.88652561879,216547.12224721172,828056.9823415413,550416.4578555902,2401085.3160006353,360162.7974000952
High permeability,33.9,4237582.950010236,136815.15599596608,646652.3755798294,216532.4684237783,90100.62320485305,216532.4684237783,831272.3427808749,550613.8577467238,2412095.6241191872,361814.343617878
High permeability,34.0,4234422.397224361,136902.47946084724,646579.8478331347,216517.67270559192,90132.72607981302,216517.67270559192,834488.1161566712,550808.4016596902,2423109.8517534626,363466.47776301927
High permeability,34.1,4231262.160654866,136989.89612794243,646507.36638107,216502.73749056135,90164.20131662904,216502.73749056135,837704.2941564451,551000.1224425321,2434127.9414318716,365119.1912147807
High permeability,34.2,4228102.242613288,137077.4062630192,646434.9286980204,216487.66503853418,90195.05492343123,216487.66503853418,840920.8687262982,551189.0518117443,2445149.8375660595,366772.4756349088
High permeability,34.300000000000004,4224942.645389287,137165.01013064355,646362.5322879556,216472.45758097465,90225.29287545996,216472.45758097465,844137.8318658953,551375.2212500962,2456175.4849571846,368426.3227435776
High permeability,34.4,4221783.371263291,137252.70799487887,646290.1746673522,216457.11733734273,90254.92113328027,216457.11733734273,847355.1755983059,551558.6621383392,2467204.828576511,370080.7242864765
High permeability,34.5,4218624.422495249,137340.5001186859,646217.8533803513,216441.6465005366,90283.94562876098,216441.6465005366,850572.8919946747,551739.4056445443,2478237.813747431,371735.6720621146
High permeability,34.6,4215465.801291943,137428.38676217585,646145.5660430514,216426.04719434658,90312.37221316321,216426.04719434658,853790.9732570688,551917.4823606581,2489274.386749622,373391.15801244316
High permeability,34.7,4212307.5097926315,137516.36818179238,646073.3103630423,216410.32145473917,90340.20662981237,216410.32145473917,857009.4117593466,552092.9221295142,2500314.4951115944,375047.17426673905
High permeability,34.800000000000004,4209149.550136577,137604.44463397903,646001.084047914,216394.4713176808,90367.45462203391,216394.4713176808,860228.1998753665,552265.7547939457,2511358.08636186,376703.71295427886
High permeability,34.9,4205991.924435942,137692.61637372192,645928.8848420135,216378.4987838384,90394.1218883721,216378.4987838384,863447.3300494058,552436.0098895801,2522405.10854096,378360.7662811439
High permeability,35.0,4202834.634795944,137780.8836556672,645856.7104989991,216362.40584490757,90420.21412135311,216362.40584490757,866666.794738368,552603.7168914066,2533455.509786075,380018.32646791113
High permeability,35.1,4199677.683230273,137869.24672955874,645784.5588967847,216346.19437323048,90445.73685875958,216346.19437323048,869886.5866405239,552768.9042222498,2544509.239988705,381676.38599830563
High permeability,35.2,4196521.071741066,137957.70584451887,645712.4279289731,216329.8662260819,90470.69561868145,216329.8662260819,873106.6984847699,552931.6001717107,2555566.249262704,383334.9373894055
High permeability,35.300000000000004,4193364.802319686,138046.26124909692,645640.3155038209,216313.42324665614,90495.09589988156,216313.42324665614,876327.1230295282,553091.8329011307,2566626.4879361363,384993.9731904203
High permeability,35.4,4190208.876945108,138134.91319119683,645568.2195463438,216296.86726203328,90518.9431829295,216296.86726203328,879547.8530631576,553249.6304384366,2577689.906557189,386653.4859835782
High permeability,35.5,4187053.297539262,138223.66191572906,645496.1380591232,216280.20002472165,90542.24284849012,216280.20002472165,882768.8815279757,553405.0201388046,2588756.456794466,388313.4685191697
High permeability,35.6,4183898.0659792963,138312.5076652291,645424.0691056814,216263.42322866345,90565.00019610801,216263.42322866345,885990.2014898233,553558.028820908,2599826.0912126703,389973.9136819004
High permeability,35.7,4180743.1841423614,138401.45068223242,645352.0107495406,216246.5385678009,90587.22052532784,216246.5385678009,889211.8060145418,553708.6833034205,2610898.762376506,391634.8143564757
High permeability,35.800000000000004,4177588.6538793864,138490.49120790203,645279.9610899519,216229.54770172006,90608.90908687512,216229.54770172006,892433.688241639,553857.0100848384,2621974.4233852793,393296.16350779176
High permeability,35.9,4174434.4770359397,138579.62948315285,645207.9182333591,216212.45228306198,90630.07112633134,216212.45228306198,895655.8413208803,554003.035614114,2633053.02741705,394957.9541125574
High permeability,36.0,4171280.655380144,138668.8657448619,645135.88039186,216195.25386285203,90650.71174073832,216195.25386285203,898878.2586239786,554146.7853775892,2644134.5292587928,396620.1793888188
High permeability,36.1,4168127.1906752586,138758.20022965156,645063.8457841858,216177.95398573656,90670.83601777154,216177.95398573656,902100.9335366202,554288.2848010879,2655218.883798699,398282.8325698047
High permeability,36.2,4164974.0846652216,138847.63317314512,644991.812655504,216160.55417092497,90690.44900554832,216160.55417092497,905323.8595023737,554427.5590606019,2666306.0463435026,399945.9069515252
High permeability,36.300000000000004,4161821.339107391,138937.1648116679,644919.7792324868,216143.05595541923,90709.55578457401,216143.05595541923,908547.0299197014,554564.6335231934,2677395.971876923,401609.3957815382
